t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp
0.479;0.001;0.158;0.00101;0.15958;0.479;0.001;0.157;0.00101;0.157;0.479;0.001;0.156;0.001;0.156;0.479;0.001;0.155;0.00101;0.15655;0.479;0.002;0.155;0.00198;0.15655;0.479;0.158;0.001;0.15642;0.00099;0.479;0.157;0.001;0.157;0.001;0.479;0.156;0.001;0.15444;0.00099;0.479;0.155;0.001;0.15345;0.00101;0.479;0.155;0.002;0.15345;0.00198
0.48;0.001;0.158;0.00101;0.15958;0.48;0.001;0.157;0.00101;0.15857;0.48;0.001;0.156;0.001;0.156;0.48;0.001;0.155;0.00099;0.155;0.48;0.002;0.155;0.00202;0.15655;0.48;0.158;0.001;0.158;0.00099;0.48;0.157;0.001;0.157;0.001;0.48;0.156;0.001;0.15444;0.00099;0.48;0.155;0.001;0.15345;0.00101;0.48;0.155;0.002;0.15345;0.00198
0.481;0.001;0.158;0.00099;0.15958;0.481;0.001;0.157;0.001;0.15857;0.481;0.001;0.156;0.00101;0.15444;0.481;0.001;0.155;0.001;0.15345;0.481;0.002;0.155;0.00198;0.155;0.481;0.158;0.001;0.15642;0.00101;0.481;0.157;0.001;0.15543;0.001;0.481;0.156;0.001;0.15756;0.00101;0.481;0.155;0.001;0.15345;0.00101;0.481;0.155;0.002;0.15655;0.00198
0.482;0.001;0.158;0.00101;0.158;0.482;0.001;0.157;0.001;0.15857;0.482;0.001;0.156;0.00099;0.156;0.482;0.001;0.155;0.00099;0.155;0.482;0.002;0.155;0.00198;0.15345;0.482;0.158;0.001;0.15958;0.00099;0.482;0.157;0.001;0.15857;0.00099;0.482;0.156;0.001;0.15756;0.00099;0.482;0.155;0.001;0.155;0.00101;0.482;0.155;0.002;0.155;0.002
0.483;0.001;0.158;0.00101;0.15642;0.483;0.001;0.157;0.00099;0.15543;0.483;0.001;0.156;0.00101;0.15756;0.483;0.001;0.155;0.00101;0.15655;0.483;0.002;0.155;0.00198;0.15655;0.483;0.158;0.001;0.15642;0.001;0.483;0.157;0.001;0.157;0.00099;0.483;0.156;0.001;0.156;0.00101;0.483;0.155;0.001;0.155;0.001;0.483;0.155;0.002;0.15345;0.00198
0.484;0.001;0.158;0.001;0.158;0.484;0.001;0.157;0.00101;0.157;0.484;0.001;0.156;0.00101;0.156;0.484;0.001;0.155;0.00101;0.155;0.484;0.002;0.155;0.002;0.155;0.484;0.158;0.001;0.158;0.00099;0.484;0.157;0.001;0.15543;0.001;0.484;0.156;0.001;0.156;0.001;0.484;0.155;0.001;0.155;0.00099;0.484;0.155;0.002;0.15655;0.002
0.485;0.001;0.158;0.001;0.15642;0.485;0.001;0.157;0.00101;0.15857;0.485;0.001;0.156;0.00099;0.15756;0.485;0.001;0.155;0.00101;0.15655;0.485;0.002;0.155;0.00198;0.15655;0.485;0.158;0.001;0.15642;0.00099;0.485;0.157;0.001;0.157;0.00099;0.485;0.156;0.001;0.15756;0.001;0.485;0.155;0.001;0.15345;0.00101;0.485;0.155;0.002;0.15655;0.00198
0.486;0.001;0.158;0.00101;0.15958;0.486;0.001;0.157;0.00101;0.15543;0.486;0.001;0.156;0.001;0.15756;0.486;0.001;0.155;0.00101;0.15345;0.486;0.002;0.155;0.002;0.15655;0.486;0.158;0.001;0.15642;0.00101;0.486;0.157;0.001;0.15543;0.00099;0.486;0.156;0.001;0.156;0.001;0.486;0.155;0.001;0.15655;0.00099;0.486;0.155;0.002;0.15345;0.00198
0.487;0.001;0.158;0.00099;0.15642;0.487;0.001;0.157;0.00099;0.157;0.487;0.001;0.156;0.00099;0.15756;0.487;0.001;0.155;0.001;0.15345;0.487;0.002;0.155;0.00198;0.155;0.487;0.158;0.001;0.158;0.00101;0.487;0.157;0.001;0.15857;0.001;0.487;0.156;0.001;0.15756;0.001;0.487;0.155;0.001;0.15655;0.00101;0.487;0.155;0.002;0.15655;0.00198
0.488;0.001;0.158;0.001;0.158;0.488;0.001;0.157;0.001;0.15543;0.488;0.001;0.156;0.00099;0.15444;0.488;0.001;0.155;0.001;0.15655;0.488;0.002;0.155;0.002;0.15655;0.488;0.158;0.001;0.15642;0.00101;0.488;0.157;0.001;0.157;0.001;0.488;0.156;0.001;0.156;0.001;0.488;0.155;0.001;0.15655;0.00101;0.488;0.155;0.002;0.15655;0.00198
0.489;0.001;0.158;0.00101;0.15642;0.489;0.001;0.157;0.001;0.15857;0.489;0.001;0.156;0.00099;0.15444;0.489;0.001;0.155;0.001;0.15345;0.489;0.002;0.155;0.002;0.155;0.489;0.158;0.001;0.158;0.00101;0.489;0.157;0.001;0.157;0.001;0.489;0.156;0.001;0.156;0.001;0.489;0.155;0.001;0.15655;0.001;0.489;0.155;0.002;0.155;0.00198
0.49;0.001;0.158;0.001;0.158;0.49;0.001;0.157;0.00099;0.15857;0.49;0.001;0.156;0.001;0.156;0.49;0.001;0.155;0.00101;0.155;0.49;0.002;0.155;0.00202;0.155;0.49;0.158;0.001;0.15642;0.00099;0.49;0.157;0.001;0.15543;0.001;0.49;0.156;0.001;0.15756;0.001;0.49;0.155;0.001;0.155;0.00099;0.49;0.155;0.002;0.15345;0.00198
0.491;0.001;0.158;0.00099;0.15642;0.491;0.001;0.157;0.00101;0.15857;0.491;0.001;0.156;0.00101;0.156;0.491;0.001;0.155;0.00101;0.15655;0.491;0.002;0.155;0.00202;0.15655;0.491;0.158;0.001;0.158;0.00099;0.491;0.157;0.001;0.15857;0.00101;0.491;0.156;0.001;0.156;0.001;0.491;0.155;0.001;0.15345;0.00099;0.491;0.155;0.002;0.155;0.00198
0.492;0.001;0.158;0.00101;0.158;0.492;0.001;0.157;0.00101;0.157;0.492;0.001;0.156;0.00099;0.15756;0.492;0.001;0.155;0.001;0.15655;0.492;0.002;0.155;0.00202;0.155;0.492;0.158;0.001;0.15642;0.00099;0.492;0.157;0.001;0.15543;0.00101;0.492;0.156;0.001;0.156;0.00101;0.492;0.155;0.001;0.15655;0.00101;0.492;0.155;0.002;0.15655;0.00198
0.493;0.001;0.158;0.001;0.158;0.493;0.001;0.157;0.001;0.15857;0.493;0.001;0.156;0.00099;0.15444;0.493;0.001;0.155;0.00099;0.15345;0.493;0.002;0.155;0.002;0.15345;0.493;0.158;0.001;0.158;0.00101;0.493;0.157;0.001;0.157;0.00099;0.493;0.156;0.001;0.15444;0.00099;0.493;0.155;0.001;0.155;0.00101;0.493;0.155;0.002;0.15345;0.00202
0.494;0.001;0.158;0.00099;0.158;0.494;0.001;0.157;0.00101;0.15857;0.494;0.001;0.156;0.00099;0.156;0.494;0.001;0.155;0.00101;0.155;0.494;0.002;0.155;0.00202;0.155;0.494;0.158;0.001;0.15642;0.00101;0.494;0.157;0.001;0.157;0.00101;0.494;0.156;0.001;0.156;0.00101;0.494;0.155;0.001;0.155;0.00101;0.494;0.155;0.002;0.155;0.002
0.495;0.001;0.158;0.001;0.15642;0.495;0.001;0.157;0.001;0.15857;0.495;0.001;0.156;0.00099;0.15444;0.495;0.001;0.155;0.00099;0.15345;0.495;0.002;0.155;0.002;0.155;0.495;0.158;0.001;0.15642;0.00101;0.495;0.157;0.001;0.157;0.00101;0.495;0.156;0.001;0.156;0.001;0.495;0.155;0.001;0.155;0.001;0.495;0.155;0.002;0.15655;0.00202
0.496;0.001;0.158;0.00099;0.15642;0.496;0.001;0.157;0.001;0.15857;0.496;0.001;0.156;0.001;0.156;0.496;0.001;0.155;0.001;0.15345;0.496;0.002;0.155;0.00202;0.155;0.496;0.158;0.001;0.15642;0.00099;0.496;0.157;0.001;0.157;0.001;0.496;0.156;0.001;0.15756;0.00101;0.496;0.155;0.001;0.15345;0.00099;0.496;0.155;0.002;0.155;0.002
0.497;0.001;0.158;0.00101;0.15642;0.497;0.001;0.157;0.00101;0.15857;0.497;0.001;0.156;0.00099;0.15756;0.497;0.001;0.155;0.001;0.155;0.497;0.002;0.155;0.00202;0.15655;0.497;0.158;0.001;0.15642;0.001;0.497;0.157;0.001;0.15543;0.00101;0.497;0.156;0.001;0.156;0.00101;0.497;0.155;0.001;0.155;0.001;0.497;0.155;0.002;0.155;0.00198
0.498;0.001;0.158;0.001;0.15642;0.498;0.001;0.157;0.00101;0.15857;0.498;0.001;0.156;0.00101;0.15756;0.498;0.001;0.155;0.001;0.15345;0.498;0.002;0.155;0.00202;0.15345;0.498;0.158;0.001;0.15958;0.00099;0.498;0.157;0.001;0.157;0.001;0.498;0.156;0.001;0.15444;0.00099;0.498;0.155;0.001;0.15655;0.00099;0.498;0.155;0.002;0.15655;0.00202
0.499;0.001;0.158;0.001;0.158;0.499;0.001;0.157;0.001;0.15857;0.499;0.001;0.156;0.001;0.156;0.499;0.001;0.155;0.00099;0.15345;0.499;0.002;0.155;0.002;0.15655;0.499;0.158;0.001;0.15642;0.001;0.499;0.157;0.001;0.15857;0.001;0.499;0.156;0.001;0.15444;0.00099;0.499;0.155;0.001;0.15345;0.001;0.499;0.155;0.002;0.15345;0.00202
0.5;0.001;0.158;0.00101;0.15958;0.5;0.001;0.157;0.00099;0.15543;0.5;0.001;0.156;0.00099;0.156;0.5;0.001;0.155;0.001;0.155;0.5;0.002;0.155;0.002;0.155;0.5;0.158;0.001;0.158;0.001;0.5;0.157;0.001;0.157;0.001;0.5;0.156;0.001;0.156;0.001;0.5;0.155;0.001;0.15345;0.001;0.5;0.155;0.002;0.155;0.002
0.501;0.001;0.158;0.00101;0.158;0.501;0.001;0.157;0.00101;0.15543;0.501;0.001;0.156;0.001;0.15756;0.501;0.001;0.155;0.00101;0.15655;0.501;0.002;0.155;0.002;0.15655;0.501;0.158;0.001;0.15958;0.00101;0.501;0.157;0.001;0.15857;0.00101;0.501;0.156;0.001;0.156;0.00101;0.501;0.155;0.001;0.15345;0.001;0.501;0.155;0.002;0.155;0.00202
0.502;0.001;0.158;0.00099;0.15642;0.502;0.001;0.157;0.001;0.157;0.502;0.001;0.156;0.00101;0.15756;0.502;0.001;0.155;0.00101;0.155;0.502;0.002;0.155;0.00202;0.15345;0.502;0.158;0.001;0.15642;0.00099;0.502;0.157;0.001;0.15857;0.001;0.502;0.156;0.001;0.156;0.001;0.502;0.155;0.001;0.155;0.00099;0.502;0.155;0.002;0.15655;0.002
0.503;0.001;0.158;0.00101;0.15642;0.503;0.001;0.157;0.001;0.157;0.503;0.001;0.156;0.00099;0.15444;0.503;0.001;0.155;0.00101;0.155;0.503;0.002;0.155;0.00202;0.15345;0.503;0.158;0.001;0.158;0.001;0.503;0.157;0.001;0.15857;0.001;0.503;0.156;0.001;0.15756;0.001;0.503;0.155;0.001;0.155;0.001;0.503;0.155;0.002;0.15655;0.00202
0.504;0.001;0.158;0.001;0.158;0.504;0.001;0.157;0.001;0.15543;0.504;0.001;0.156;0.00099;0.15444;0.504;0.001;0.155;0.001;0.15655;0.504;0.002;0.155;0.00198;0.15345;0.504;0.158;0.001;0.158;0.00101;0.504;0.157;0.001;0.157;0.00099;0.504;0.156;0.001;0.156;0.00099;0.504;0.155;0.001;0.15345;0.00099;0.504;0.155;0.002;0.15655;0.002
0.505;0.001;0.158;0.00099;0.15958;0.505;0.001;0.157;0.00101;0.157;0.505;0.001;0.156;0.00101;0.15756;0.505;0.001;0.155;0.00099;0.15345;0.505;0.002;0.155;0.00198;0.15345;0.505;0.158;0.001;0.158;0.00099;0.505;0.157;0.001;0.157;0.001;0.505;0.156;0.001;0.15444;0.00101;0.505;0.155;0.001;0.155;0.00099;0.505;0.155;0.002;0.155;0.00198
0.506;0.001;0.158;0.00101;0.15958;0.506;0.001;0.157;0.001;0.157;0.506;0.001;0.156;0.00099;0.156;0.506;0.001;0.155;0.00101;0.15655;0.506;0.002;0.155;0.00202;0.15655;0.506;0.158;0.001;0.158;0.001;0.506;0.157;0.001;0.15543;0.00099;0.506;0.156;0.001;0.15756;0.00101;0.506;0.155;0.001;0.15345;0.00101;0.506;0.155;0.002;0.155;0.00198
0.507;0.001;0.158;0.001;0.158;0.507;0.001;0.157;0.00101;0.15543;0.507;0.001;0.156;0.001;0.15756;0.507;0.001;0.155;0.001;0.15655;0.507;0.002;0.155;0.002;0.155;0.507;0.158;0.001;0.15958;0.00101;0.507;0.157;0.001;0.157;0.001;0.507;0.156;0.001;0.15756;0.00101;0.507;0.155;0.001;0.15655;0.00101;0.507;0.155;0.002;0.15655;0.00202
0.508;0.001;0.158;0.00099;0.15642;0.508;0.001;0.157;0.00099;0.15857;0.508;0.001;0.156;0.001;0.156;0.508;0.001;0.155;0.00101;0.15655;0.508;0.002;0.155;0.00198;0.15655;0.508;0.158;0.001;0.15958;0.00099;0.508;0.157;0.001;0.15543;0.001;0.508;0.156;0.001;0.156;0.00099;0.508;0.155;0.001;0.15345;0.00101;0.508;0.155;0.002;0.15345;0.00202
0.509;0.001;0.158;0.00099;0.15642;0.509;0.001;0.157;0.00101;0.157;0.509;0.001;0.156;0.00101;0.156;0.509;0.001;0.155;0.00101;0.15345;0.509;0.002;0.155;0.002;0.15345;0.509;0.158;0.001;0.15958;0.00099;0.509;0.157;0.001;0.15543;0.001;0.509;0.156;0.001;0.15756;0.00099;0.509;0.155;0.001;0.15345;0.001;0.509;0.155;0.002;0.15345;0.00198
0.51;0.001;0.158;0.001;0.15958;0.51;0.001;0.157;0.00099;0.15543;0.51;0.001;0.156;0.001;0.156;0.51;0.001;0.155;0.00099;0.15345;0.51;0.002;0.155;0.002;0.15655;0.51;0.158;0.001;0.15958;0.00099;0.51;0.157;0.001;0.15543;0.00101;0.51;0.156;0.001;0.15444;0.001;0.51;0.155;0.001;0.155;0.00099;0.51;0.155;0.002;0.155;0.00202
0.511;0.001;0.158;0.00099;0.15958;0.511;0.001;0.157;0.00101;0.157;0.511;0.001;0.156;0.00099;0.15444;0.511;0.001;0.155;0.00099;0.15345;0.511;0.002;0.155;0.00198;0.155;0.511;0.158;0.001;0.158;0.00099;0.511;0.157;0.001;0.15543;0.001;0.511;0.156;0.001;0.156;0.00099;0.511;0.155;0.001;0.155;0.00099;0.511;0.155;0.002;0.15655;0.002
0.512;0.001;0.158;0.00101;0.15958;0.512;0.001;0.157;0.00101;0.15857;0.512;0.001;0.156;0.00099;0.15756;0.512;0.001;0.155;0.001;0.15655;0.512;0.002;0.155;0.00202;0.155;0.512;0.158;0.001;0.158;0.00101;0.512;0.157;0.001;0.15857;0.00099;0.512;0.156;0.001;0.15756;0.001;0.512;0.155;0.001;0.15345;0.001;0.512;0.155;0.002;0.15345;0.00198
0.513;0.001;0.158;0.00099;0.15642;0.513;0.001;0.157;0.00101;0.157;0.513;0.001;0.156;0.00101;0.15444;0.513;0.001;0.155;0.00101;0.15655;0.513;0.002;0.155;0.00202;0.155;0.513;0.158;0.001;0.15958;0.001;0.513;0.157;0.001;0.15543;0.001;0.513;0.156;0.001;0.15444;0.00101;0.513;0.155;0.001;0.15655;0.00099;0.513;0.155;0.002;0.15655;0.00198
0.514;0.001;0.158;0.001;0.158;0.514;0.001;0.157;0.001;0.15543;0.514;0.001;0.156;0.001;0.15444;0.514;0.001;0.155;0.001;0.15655;0.514;0.002;0.155;0.00202;0.15345;0.514;0.158;0.001;0.15642;0.00101;0.514;0.157;0.001;0.15857;0.00101;0.514;0.156;0.001;0.15444;0.001;0.514;0.155;0.001;0.15655;0.00099;0.514;0.155;0.002;0.15345;0.00198
0.515;0.001;0.158;0.001;0.15958;0.515;0.001;0.157;0.001;0.15857;0.515;0.001;0.156;0.00101;0.15756;0.515;0.001;0.155;0.001;0.155;0.515;0.002;0.155;0.002;0.15345;0.515;0.158;0.001;0.15642;0.00101;0.515;0.157;0.001;0.157;0.00099;0.515;0.156;0.001;0.156;0.001;0.515;0.155;0.001;0.15345;0.001;0.515;0.155;0.002;0.15345;0.00198
0.516;0.001;0.158;0.001;0.15958;0.516;0.001;0.157;0.00099;0.157;0.516;0.001;0.156;0.00101;0.156;0.516;0.001;0.155;0.00099;0.15655;0.516;0.002;0.155;0.002;0.155;0.516;0.158;0.001;0.158;0.001;0.516;0.157;0.001;0.15857;0.00101;0.516;0.156;0.001;0.15444;0.00101;0.516;0.155;0.001;0.155;0.00099;0.516;0.155;0.002;0.15345;0.002
0.517;0.001;0.158;0.00099;0.15642;0.517;0.001;0.157;0.00099;0.157;0.517;0.001;0.156;0.001;0.15756;0.517;0.001;0.155;0.00101;0.155;0.517;0.002;0.155;0.00198;0.15345;0.517;0.158;0.001;0.15642;0.00101;0.517;0.157;0.001;0.15543;0.00099;0.517;0.156;0.001;0.15444;0.001;0.517;0.155;0.001;0.15345;0.00101;0.517;0.155;0.002;0.15345;0.00202
0.518;0.001;0.158;0.00099;0.15642;0.518;0.001;0.157;0.00101;0.157;0.518;0.001;0.156;0.001;0.15756;0.518;0.001;0.155;0.001;0.155;0.518;0.001;0.154;0.00101;0.15246;0.518;0.158;0.001;0.15958;0.00101;0.518;0.157;0.001;0.15857;0.001;0.518;0.156;0.001;0.156;0.00099;0.518;0.155;0.001;0.15655;0.00099;0.518;0.154;0.001;0.15246;0.001
0.519;0.001;0.158;0.00101;0.158;0.519;0.001;0.157;0.00099;0.15543;0.519;0.001;0.156;0.00099;0.15444;0.519;0.001;0.155;0.00099;0.15345;0.519;0.001;0.154;0.00099;0.15554;0.519;0.158;0.001;0.15958;0.00101;0.519;0.157;0.001;0.15857;0.001;0.519;0.156;0.001;0.156;0.00101;0.519;0.155;0.001;0.155;0.00099;0.519;0.154;0.001;0.154;0.001
0.52;0.001;0.158;0.001;0.15642;0.52;0.001;0.157;0.00101;0.15857;0.52;0.001;0.156;0.00101;0.15756;0.52;0.001;0.155;0.001;0.15655;0.52;0.001;0.154;0.001;0.15246;0.52;0.158;0.001;0.158;0.001;0.52;0.157;0.001;0.15543;0.00101;0.52;0.156;0.001;0.15756;0.00099;0.52;0.155;0.001;0.155;0.00099;0.52;0.154;0.001;0.15554;0.00099
0.521;0.001;0.158;0.00099;0.15642;0.521;0.001;0.157;0.00099;0.157;0.521;0.001;0.156;0.001;0.15756;0.521;0.001;0.155;0.001;0.15655;0.521;0.001;0.154;0.00101;0.15246;0.521;0.158;0.001;0.15958;0.001;0.521;0.157;0.001;0.157;0.001;0.521;0.156;0.001;0.15444;0.001;0.521;0.155;0.001;0.155;0.001;0.521;0.154;0.001;0.15246;0.00101
0.522;0.001;0.158;0.00101;0.15958;0.522;0.001;0.157;0.001;0.15543;0.522;0.001;0.156;0.00099;0.15756;0.522;0.001;0.155;0.001;0.155;0.522;0.001;0.154;0.001;0.15554;0.522;0.158;0.001;0.15642;0.00099;0.522;0.157;0.001;0.157;0.00101;0.522;0.156;0.001;0.15756;0.00099;0.522;0.155;0.001;0.15655;0.00101;0.522;0.154;0.001;0.15554;0.001
0.523;0.001;0.158;0.00099;0.15642;0.523;0.001;0.157;0.001;0.15543;0.523;0.001;0.156;0.001;0.15756;0.523;0.001;0.155;0.001;0.15655;0.523;0.001;0.154;0.00101;0.15246;0.523;0.158;0.001;0.15642;0.00101;0.523;0.157;0.001;0.15543;0.00099;0.523;0.156;0.001;0.156;0.001;0.523;0.155;0.001;0.15345;0.00101;0.523;0.154;0.001;0.15554;0.001
0.524;0.001;0.158;0.00101;0.15642;0.524;0.001;0.157;0.00099;0.15543;0.524;0.001;0.156;0.001;0.156;0.524;0.001;0.155;0.001;0.155;0.524;0.001;0.154;0.00101;0.154;0.524;0.158;0.001;0.15958;0.001;0.524;0.157;0.001;0.157;0.00101;0.524;0.156;0.001;0.156;0.00101;0.524;0.155;0.001;0.15345;0.001;0.524;0.154;0.001;0.154;0.00099
0.525;0.001;0.158;0.001;0.15642;0.525;0.001;0.157;0.001;0.15857;0.525;0.001;0.156;0.00099;0.15756;0.525;0.001;0.155;0.00101;0.15345;0.525;0.001;0.154;0.00099;0.15246;0.525;0.158;0.001;0.15958;0.00101;0.525;0.157;0.001;0.15857;0.00101;0.525;0.156;0.001;0.15756;0.00101;0.525;0.155;0.001;0.15655;0.00099;0.525;0.154;0.001;0.15554;0.00099
0.526;0.001;0.158;0.001;0.158;0.526;0.001;0.157;0.00101;0.157;0.526;0.001;0.156;0.00101;0.15756;0.526;0.001;0.155;0.00101;0.155;0.526;0.001;0.154;0.00101;0.15246;0.526;0.158;0.001;0.15958;0.00101;0.526;0.157;0.001;0.15857;0.00101;0.526;0.156;0.001;0.156;0.00099;0.526;0.155;0.001;0.15345;0.001;0.526;0.154;0.001;0.15246;0.001
0.527;0.001;0.158;0.00099;0.158;0.527;0.001;0.157;0.00101;0.15543;0.527;0.001;0.156;0.001;0.156;0.527;0.001;0.155;0.00099;0.15345;0.527;0.001;0.154;0.00101;0.154;0.527;0.158;0.001;0.158;0.00101;0.527;0.157;0.001;0.157;0.00101;0.527;0.156;0.001;0.156;0.00101;0.527;0.155;0.001;0.15345;0.001;0.527;0.154;0.001;0.15246;0.00101
0.528;0.001;0.158;0.00101;0.15958;0.528;0.001;0.157;0.00101;0.15543;0.528;0.001;0.156;0.001;0.156;0.528;0.001;0.155;0.00099;0.15345;0.528;0.001;0.154;0.001;0.154;0.528;0.158;0.001;0.15958;0.00099;0.528;0.157;0.001;0.15543;0.00099;0.528;0.156;0.001;0.156;0.00101;0.528;0.155;0.001;0.155;0.00099;0.528;0.154;0.001;0.154;0.001
0.529;0.001;0.158;0.00099;0.15958;0.529;0.001;0.157;0.001;0.15857;0.529;0.001;0.156;0.001;0.15444;0.529;0.001;0.155;0.00099;0.15655;0.529;0.001;0.154;0.001;0.15554;0.529;0.158;0.001;0.15958;0.001;0.529;0.157;0.001;0.15857;0.00099;0.529;0.156;0.001;0.15444;0.00099;0.529;0.155;0.001;0.15655;0.00099;0.529;0.154;0.001;0.154;0.00101
0.53;0.001;0.158;0.00101;0.15958;0.53;0.001;0.157;0.00099;0.15543;0.53;0.001;0.156;0.001;0.156;0.53;0.001;0.155;0.00101;0.15345;0.53;0.001;0.154;0.00099;0.15246;0.53;0.158;0.001;0.15958;0.001;0.53;0.157;0.001;0.157;0.00099;0.53;0.156;0.001;0.156;0.00099;0.53;0.155;0.001;0.15345;0.00101;0.53;0.154;0.001;0.154;0.00101
0.531;0.001;0.158;0.00101;0.15642;0.531;0.001;0.157;0.001;0.15543;0.531;0.001;0.156;0.001;0.156;0.531;0.001;0.155;0.001;0.155;0.531;0.001;0.154;0.00101;0.15246;0.531;0.158;0.001;0.158;0.00101;0.531;0.157;0.001;0.15543;0.00099;0.531;0.156;0.001;0.156;0.00101;0.531;0.155;0.001;0.15345;0.00099;0.531;0.154;0.001;0.15554;0.001
0.532;0.001;0.158;0.00099;0.15958;0.532;0.001;0.157;0.00101;0.157;0.532;0.001;0.156;0.00101;0.15444;0.532;0.001;0.155;0.001;0.15655;0.532;0.001;0.154;0.00099;0.15554;0.532;0.158;0.001;0.15642;0.001;0.532;0.157;0.001;0.15543;0.001;0.532;0.156;0.001;0.156;0.00099;0.532;0.155;0.001;0.15345;0.00101;0.532;0.154;0.001;0.15246;0.00099
0.533;0.001;0.158;0.00101;0.158;0.533;0.001;0.157;0.00099;0.15857;0.533;0.001;0.156;0.001;0.156;0.533;0.001;0.155;0.001;0.15345;0.533;0.001;0.154;0.00101;0.15554;0.533;0.158;0.001;0.158;0.001;0.533;0.157;0.001;0.15543;0.00101;0.533;0.156;0.001;0.15444;0.00099;0.533;0.155;0.001;0.155;0.00101;0.533;0.154;0.001;0.15554;0.00099
0.534;0.001;0.158;0.00101;0.15958;0.534;0.001;0.157;0.00099;0.157;0.534;0.001;0.156;0.00101;0.156;0.534;0.001;0.155;0.00101;0.15655;0.534;0.001;0.154;0.00101;0.154;0.534;0.158;0.001;0.15642;0.001;0.534;0.157;0.001;0.15857;0.00101;0.534;0.156;0.001;0.156;0.001;0.534;0.155;0.001;0.155;0.00099;0.534;0.154;0.001;0.15246;0.00101
0.535;0.001;0.158;0.00101;0.15642;0.535;0.001;0.157;0.00099;0.15543;0.535;0.001;0.156;0.00099;0.15444;0.535;0.001;0.155;0.00099;0.15655;0.535;0.001;0.154;0.00101;0.154;0.535;0.158;0.001;0.15642;0.00099;0.535;0.157;0.001;0.15857;0.00099;0.535;0.156;0.001;0.156;0.001;0.535;0.155;0.001;0.15655;0.00099;0.535;0.154;0.001;0.15554;0.00099
0.536;0.001;0.158;0.001;0.158;0.536;0.001;0.157;0.00099;0.157;0.536;0.001;0.156;0.00101;0.156;0.536;0.001;0.155;0.00101;0.15655;0.536;0.001;0.154;0.001;0.15246;0.536;0.158;0.001;0.15958;0.00099;0.536;0.157;0.001;0.157;0.001;0.536;0.156;0.001;0.15756;0.00101;0.536;0.155;0.001;0.15655;0.00099;0.536;0.154;0.001;0.15246;0.00101
0.537;0.001;0.158;0.00101;0.15642;0.537;0.001;0.157;0.00099;0.15857;0.537;0.001;0.156;0.00099;0.156;0.537;0.001;0.155;0.00101;0.15655;0.537;0.001;0.154;0.001;0.15246;0.537;0.158;0.001;0.15642;0.00099;0.537;0.157;0.001;0.15543;0.001;0.537;0.156;0.001;0.15444;0.001;0.537;0.155;0.001;0.15345;0.00101;0.537;0.154;0.001;0.154;0.00101
0.538;0.001;0.158;0.00101;0.15642;0.538;0.001;0.157;0.001;0.15857;0.538;0.001;0.156;0.00099;0.15444;0.538;0.001;0.155;0.001;0.155;0.538;0.001;0.154;0.00099;0.15246;0.538;0.158;0.001;0.15958;0.00101;0.538;0.157;0.001;0.15857;0.00101;0.538;0.156;0.001;0.156;0.001;0.538;0.155;0.001;0.15345;0.00099;0.538;0.154;0.001;0.154;0.00101
0.539;0.001;0.158;0.00099;0.15642;0.539;0.001;0.157;0.001;0.157;0.539;0.001;0.156;0.00101;0.156;0.539;0.001;0.155;0.00101;0.155;0.539;0.001;0.154;0.00101;0.15554;0.539;0.158;0.001;0.15642;0.00099;0.539;0.157;0.001;0.157;0.00101;0.539;0.156;0.001;0.15444;0.001;0.539;0.155;0.001;0.155;0.00101;0.539;0.154;0.001;0.15246;0.00099
0.54;0.001;0.158;0.00101;0.15642;0.54;0.001;0.157;0.001;0.15857;0.54;0.001;0.156;0.00099;0.15444;0.54;0.001;0.155;0.00099;0.15345;0.54;0.001;0.154;0.00099;0.15246;0.54;0.158;0.001;0.158;0.00099;0.54;0.157;0.001;0.15857;0.00099;0.54;0.156;0.001;0.15756;0.00101;0.54;0.155;0.001;0.155;0.00099;0.54;0.154;0.001;0.15554;0.00099
0.541;0.001;0.158;0.00099;0.15958;0.541;0.001;0.157;0.00099;0.15543;0.541;0.001;0.156;0.001;0.156;0.541;0.001;0.155;0.00101;0.15655;0.541;0.001;0.154;0.00101;0.154;0.541;0.158;0.001;0.158;0.00101;0.541;0.157;0.001;0.15543;0.00101;0.541;0.156;0.001;0.156;0.001;0.541;0.155;0.001;0.155;0.001;0.541;0.154;0.001;0.154;0.001
0.542;0.001;0.158;0.001;0.15958;0.542;0.001;0.157;0.00101;0.157;0.542;0.001;0.156;0.001;0.156;0.542;0.001;0.155;0.001;0.155;0.542;0.001;0.154;0.00099;0.154;0.542;0.158;0.001;0.15642;0.00099;0.542;0.157;0.001;0.15857;0.00101;0.542;0.156;0.001;0.15444;0.001;0.542;0.155;0.001;0.15345;0.00101;0.542;0.154;0.001;0.154;0.00099
